absorcion max teorico,absorcion en cm-1 teorico,energia del estado excitado teorico,Fueza del oscilador teorico,Dureza quimica teorico,Electrofilicidad teorico,Poder electrodonador teorico,Poder electroaceptor teorico,HOMO teorico,LUMO teorico,energia de exitacion teorico,inyeccion teorico,Voc teorico,regeneracion teorico,recombinacion teorico,Gap teorico,Energia de enlace del exciton teorico,Tiempo de vida del estado excitado teorico,Eficiencia de recoleccion de luz teorico,Eficiencia experimental
319.4,31.3,3.88,0.9201,4.412023358,1.524694217,5.159122785,1.491157001,-5.15111802,-2.523585236,-1.27111802,2.66888198,1.416414764,0.31111802,1.21111802,2.627532784,-1.252467216,1.662945158,0.879801237,6.6
440,22.7,2.82,0.9165,5.25651509,1.314916824,4.817381728,1.099349956,-5.352754494,-2.232423256,-2.532754494,1.407245506,1.707576744,0.512754494,1.412754494,3.120331238,0.300331238,3.174076935,0.878800731,5.3
445.5,22.4,2.78,0.9698,5.201038931,1.350477681,4.900038303,1.152002286,-5.354659292,-2.269702874,-2.574659292,1.365340708,1.670297126,0.514659292,1.414659292,3.084956418,0.304956418,3.080515628,0.892798713,4.9
441.1,22.7,2.81,1.1656,11.86418789,2.53E-13,0.741510519,0.741512968,-5.051524296,-2.591069508,-2.241524296,1.698475704,1.348930492,0.211524296,1.111524296,2.460454788,-0.349545212,2.495745977,0.931703256,6.1
331.5,30.2,3.74,0.9188,4.334091262,1.546837263,5.195420308,1.533690153,-5.161730466,-2.485489276,-1.421730466,2.518269534,1.454510724,0.321730466,1.221730466,2.67624119,-1.06375881,1.788820488,0.879440899,5.8
439.9,22.7,2.82,1.017,5.215767103,1.342699931,4.882642922,1.14012769,-5.367720764,-2.246028956,-2.547720764,1.392279236,1.693971044,0.527720764,1.427720764,3.121691808,0.301691808,2.860414465,0.903838772,4.5
437.9,22.8,2.83,1.0167,5.250016735,1.330846335,4.858904795,1.120732639,-5.373435158,-2.238953992,-2.543435158,1.396564842,1.701046008,0.533435158,1.433435158,3.134481166,0.304481166,2.836214776,0.903772323,4
335.1,29.8,3.7,0.9034,4.403818304,2.023123565,6.432109922,2.210861626,-5.553030398,-2.9524369,-1.853030398,2.086969602,0.9875631,0.713030398,1.613030398,2.600593498,-1.099406502,1.86848243,0.875089197,7.5
414.8,24.1,2.99,1.1259,4.781950132,1.198837254,4.389588027,1.003504754,-4.966896842,-2.022079134,-1.976896842,1.963103158,1.917920866,0.126896842,1.026896842,2.944817708,-0.045182292,2.292280334,0.925165821,2.7
419.5,23.8,2.96,1.3029,4.734048268,1.212315217,4.414491737,1.026525163,-4.947848862,-2.041671342,-1.987848862,1.952151138,1.898328658,0.107848862,1.007848862,2.90617752,-0.05382248,2.03112492,0.950214829,4.6
368.3,27.2,3.37,1.3798,4.089061832,1.861769161,5.930115862,2.02809351,-5.107307666,-2.72930342,-1.737307666,2.202692334,1.21069658,0.267307666,1.167307666,2.378004246,-0.991995754,1.468411186,0.95829386,3.4
407,24.6,3.05,1.0825,4.575420212,1.930772769,6.249186817,2.045831787,-5.683645118,-2.88576897,-2.633645118,1.306354882,1.05423103,0.843645118,1.743645118,2.797876148,-0.252123852,2.288250224,0.917301049,3.21
413.7,24.2,3,1.153,4.568488924,1.887256711,6.136328085,1.983759873,-5.647998184,-2.751888882,-2.647998184,1.292001816,1.188111118,0.807998184,1.707998184,2.896109302,-0.103890698,2.219941825,0.929692768,3.22
407.1,24.6,3.05,1.1791,4.5597742,1.891557611,6.144766175,1.991436043,-5.645821272,-2.807128024,-2.595821272,1.344178728,1.132871976,0.805821272,1.705821272,2.838693248,-0.211306752,2.100780992,0.933793596,3.33
370.5,27,3.35,1.2676,4.601220704,1.843040569,6.032812164,1.914502699,-5.632215572,-2.74154855,-2.282215572,1.657784428,1.19845145,0.792215572,1.692215572,2.890667022,-0.459332978,1.622153224,0.945999224,3.49
374.1,26.7,3.31,1.4939,4.053630681,1.798116045,5.758628057,1.940539958,-5.03683014,-2.713520808,-1.72683014,2.21316986,1.226479192,0.19683014,1.09683014,2.323309332,-0.986690668,1.40752975,0.967929923,3.29
379.1,26.4,3.27,1.6592,4.1320251,1.768726421,5.707303475,1.884105346,-5.050980068,-2.640594256,-1.780980068,2.159019932,1.299405744,0.210980068,1.110980068,2.410385812,-0.859614188,1.296268716,0.978082047,3.5
366.6,27.3,3.38,1.1974,4.007233607,1.813694235,5.784132323,1.971548818,-5.00145532,-2.755698478,-1.62145532,2.31854468,1.184301522,0.16145532,1.06145532,2.245756842,-1.134243158,1.679720741,0.936525396,3.43
387,25.8,3.2,1.8675,4.543389942,1.13638643,4.163446695,0.950022766,-4.825397562,-1.819626318,-1.625397562,2.314602438,2.120373682,-0.014602438,0.885397562,3.005771244,-0.194228756,1.205873109,0.986432495,3.9
519.3,19.3,2.39,0.8812,4.601771734,1.543095069,5.258074108,1.489527633,-5.165267948,-2.56195331,-2.775267948,1.164732052,1.37804669,0.325267948,1.225267948,2.603314638,0.213314638,4.566805615,0.868538071,5.33
334.7,29.9,3.7,0.9404,4.508592,1.483849274,5.078429366,1.420541732,-5.01233988,-2.516782386,-1.31233988,2.62766012,1.423217614,0.17233988,1.07233988,2.495557494,-1.204442506,1.782980674,0.885290338,6.9
365.3,27.4,3.39,1.2006,4.381927819,1.897424389,6.107637695,2.029800839,-5.394387936,-2.824271206,-2.004387936,1.935612064,1.115728794,0.554387936,1.454387936,2.57011673,-0.81988327,1.663037982,0.936991375,7.02
328.3,30.5,3.78,1.2651,4.661501852,1.790431749,5.915011921,1.829402808,-5.467586602,-2.702908362,-1.687586602,2.252413398,1.237091638,0.627586602,1.527586602,2.76467824,-1.01532176,1.273729181,0.945687474,5.56
355.8,28.1,3.48,1.2151,4.43754711,1.822392561,5.932971547,1.911292086,-5.345135302,-2.728759192,-1.865135302,2.074864698,1.211240808,0.505135302,1.405135302,2.61637611,-0.86362389,1.562345109,0.939060344,2.6
489.3,20.4,2.53,1.0227,4.512281867,1.570570773,5.305558964,1.540759362,-5.208806188,-2.56331388,-2.678806188,1.261193812,1.37668612,0.368806188,1.268806188,2.645492308,0.115492308,3.522029928,0.905092617,4.97
417.1,24,2.97,1.296,4.311598316,1.756682402,5.728875269,1.836804127,-5.425136818,-2.46671341,-2.455136818,1.944863182,1.93328659,0.525136818,1.025136818,2.958423408,-0.011576592,2.008048268,0.949417534,5.04
463.1,21.6,2.68,1.1797,4.198994811,1.751637012,5.683407048,1.848015353,-5.298875922,-2.452291368,-2.618875922,1.781124078,1.947708632,0.398875922,0.898875922,2.846584554,0.166584554,2.72346972,0.933885,5.94
432.6,23.1,2.87,1.6437,3.874861834,1.920694653,6.012612806,2.154523536,-5.19601683,-2.574742668,-2.32601683,2.07398317,1.825257332,0.29601683,0.79601683,2.621274162,-0.248725838,1.709051374,0.977285666,6.05
434.7,23,2.85,1.5308,3.893624368,1.946239018,6.082355139,2.189303979,-5.250711744,-2.59732813,-2.400711744,1.999288256,1.80267187,0.350711744,0.850711744,2.653383614,-0.196616386,1.851089883,0.970542221,5.99
435,23,2.85,1.5434,3.872203824,1.969992986,6.134972646,2.229024777,-5.250711744,-2.618280908,-2.400711744,1.999288256,1.781719092,0.350711744,0.850711744,2.632430836,-0.217569164,1.835977966,0.971384588,5.88
454.8,22,2.73,0.8914,5.268166741,1.384483965,5.0079001,1.188556602,-5.437654062,-2.371745624,-2.707654062,1.692345938,2.028254376,0.537654062,1.037654062,3.065908438,0.335908438,3.474430601,0.871589659,4.65
483.5,20.7,2.56,1.1065,4.841782565,1.52494657,5.273892032,1.431117068,-5.324726752,-2.532564998,-2.764726752,1.635273248,1.867435002,0.424726752,0.924726752,2.792161754,0.232161754,3.161618933,0.921747179,5.01
437.8,22.8,2.83,1.1671,3.865613223,1.942423625,6.064057229,2.188838925,-5.036013798,-2.628893354,-2.206013798,1.733986202,1.311106646,0.196013798,1.096013798,2.407120444,-0.422879556,2.470721929,0.931938738,1.21
424.8,23.5,2.92,1.0162,3.87091482,1.884333128,5.920322631,2.100874233,-5.00825817,-2.588620482,-2.08825817,1.85174183,1.351379518,0.16825817,1.06825817,2.419637688,-0.500362312,2.671078907,0.903661473,1.63
387.9,25.8,3.2,0.9265,5.978510611,1.272759165,4.869714164,0.968636321,-5.78106193,-2.16058516,-2.58106193,1.35893807,1.77941484,0.94106193,1.84106193,3.62047677,0.42047677,2.43061849,0.881559563,2.47
409,24.4,3.03,0.9894,5.350611032,1.259506977,4.689064897,1.01778939,-5.36200637,-2.160040932,-2.33200637,1.60799363,1.779959068,0.52200637,1.42200637,3.201965438,0.171965438,2.544779011,0.89752923,3.78
420.6,23.8,2.95,0.7386,4.859051193,1.708246493,5.757394667,1.682972705,-5.52255363,-2.625627986,-2.57255363,1.36744637,1.314372014,0.68255363,1.58255363,2.896925644,-0.053074356,3.582930759,0.817442365,4.09
424.6,23.6,2.92,1.231,5.390305938,1.54248788,5.460801166,1.382938594,-5.739700602,-2.448481772,-2.819700602,1.120299398,1.491518228,0.899700602,1.799700602,3.29121883,0.37121883,2.186349432,0.941251065,0.95
426,23.5,2.91,1.2065,5.371939874,1.556479103,5.49336972,1.404039175,-5.742421742,-2.474604716,-2.832421742,1.107578258,1.465395284,0.902421742,1.802421742,3.267817026,0.357817026,2.249772387,0.937841575,0.83
440.6,22.7,2.81,1.3167,5.14083724,1.43221435,5.10442601,1.267036046,-5.452620332,-2.30480558,-2.642620332,1.297379668,1.63519442,0.612620332,1.512620332,3.147814752,0.337814752,2.209342683,0.951771917,1.1
441.5,22.7,2.81,1.2872,5.122400699,1.446381761,5.137614445,1.288212688,-5.45452513,-2.335010234,-2.64452513,1.29547487,1.604989766,0.61452513,1.51452513,3.119514896,0.309514896,2.259976313,0.948382139,0.94
424.8,23.5,2.92,1.2279,5.392146517,1.542034416,5.460057575,1.382098403,-5.740789058,-2.44766543,-2.820789058,1.119210942,1.49233457,0.900789058,1.800789058,3.293123628,0.373123628,2.210563063,0.940830214,0.88
